mode,epoch,train_loss,val_loss,acc,P,R,F1
class,1,0.1461,0.3881,0.8772,0.9286,0.7667,0.8094
class,2,0.0884,0.3061,0.9079,0.9444,0.8250,0.8645
class,3,0.0244,0.1340,0.9518,0.9693,0.9083,0.9337
class,4,0.0230,0.1262,0.9605,0.9746,0.9250,0.9464
class,5,0.0477,0.0937,0.9781,0.9795,0.9637,0.9713
class,6,0.0415,0.3209,0.9211,0.9424,0.8554,0.8879
class,7,0.0497,0.2792,0.9386,0.9615,0.8833,0.9140
class,8,0.0169,0.3359,0.9298,0.9565,0.8667,0.9003
class,9,0.0253,0.3727,0.9254,0.9541,0.8583,0.8934
class,10,0.0005,0.2570,0.9518,0.9693,0.9083,0.9337

det,1,1.2070,1.1146,,0.0952,0.8604,0.5832,0.0952
det,2,0.9936,1.0092,,0.0962,0.9174,0.6250,0.0962
det,3,0.9060,0.9661,,0.1477,0.9086,0.6348,0.1477
det,4,0.8367,1.0839,,0.1591,0.8735,0.6016,0.1591
det,5,0.7724,0.9190,,0.1430,0.9218,0.6422,0.1430
det,6,0.6965,0.9075,,0.1557,0.8911,0.6148,0.1557
det,7,0.6250,0.8988,,0.1235,0.9306,0.6479,0.1235
det,8,0.5646,0.8013,,0.2102,0.9349,0.6749,0.2102
det,9,0.5448,0.8624,,0.1736,0.9349,0.6604,0.1736
det,10,0.5140,1.0020,,0.1398,0.9214,0.6402,0.1398
det,11,0.4746,0.9245,,0.1897,0.9086,0.6525,0.1897
det,12,0.4294,0.7383,,0.1903,0.9152,0.6434,0.1903
det,13,0.4158,0.7203,,0.1769,0.9255,0.6631,0.1769
det,14,0.3981,0.8995,,0.1566,0.9349,0.6634,0.1566
det,15,0.3609,0.7847,,0.1592,0.9479,0.6771,0.1592
det,16,0.3483,0.7636,,0.1644,0.9130,0.6465,0.1644
det,17,0.3368,0.8249,,0.1609,0.9329,0.6671,0.1609
det,18,0.3242,0.8603,,0.1880,0.9200,0.6616,0.1880
det,19,0.3023,0.7683,,0.1751,0.9115,0.6588,0.1751
det,20,0.2932,0.8224,,0.2076,0.9427,0.6784,0.2076
det,21,0.2850,0.8645,,0.1852,0.9174,0.6562,0.1852
det,22,0.2752,0.9183,,0.2105,0.9249,0.6701,0.2105
det,23,0.2691,0.9357,,0.1947,0.9432,0.6741,0.1947
det,24,0.2588,1.0300,,0.2004,0.9435,0.6716,0.2004
det,25,0.2516,0.8861,,0.2043,0.9302,0.6726,0.2043
det,26,0.2509,0.8195,,0.2064,0.9245,0.6761,0.2064
det,27,0.2473,0.9159,,0.1870,0.9299,0.6675,0.1870
det,28,0.2452,0.7854,,0.1909,0.9200,0.6602,0.1909
det,29,0.2421,0.8835,,0.1961,0.9385,0.6762,0.1961
det,30,0.2395,0.9287,,0.1888,0.9293,0.6732,0.1888
det,1,1.4489,1.2897,,0.0000,0.0000,0.0000,0.0000
det,1,1.4674,1.2388,,0.1486,0.8436,0.5749,0.1486
det,2,1.2136,1.1862,,0.1456,0.8801,0.6017,0.1456
det,3,1.0452,1.0607,,0.1793,0.8553,0.5730,0.1793
det,4,0.9316,1.0097,,0.2041,0.8384,0.5573,0.2041
det,5,0.8020,0.8708,,0.2847,0.6272,0.3992,0.2847
det,6,0.7136,0.8869,,0.4262,0.4597,0.2798,0.4262
det,1,1.4124,1.3026,,0.2396,0.7844,0.5168,0.2396
det,2,1.1554,1.2418,,0.1949,0.8282,0.5580,0.1949
det,3,1.0448,1.0760,,0.1686,0.8501,0.5814,0.1686
det,4,0.9658,1.0529,,0.1559,0.8224,0.5416,0.1559
det,5,0.8955,0.9586,,0.1752,0.8275,0.5431,0.1752
det,6,0.8396,1.0973,,0.1773,0.6031,0.4006,0.1773
det,7,0.7769,1.0330,,0.2289,0.5658,0.3716,0.2289
det,8,0.7198,1.0196,,0.2741,0.5312,0.3386,0.2741
det,9,0.6853,0.9029,,0.2880,0.5592,0.3715,0.2880
det,10,0.6491,1.1288,,0.2472,0.4868,0.3185,0.2472
det,11,0.6171,1.1939,,0.2799,0.6352,0.4119,0.2799
det,1,1.7039,1.4625,,0.5680,0.8297,0.5871,0.5680
det,2,1.2202,1.2709,,0.7281,0.8779,0.6282,0.7281
det,3,0.9916,1.1074,,0.7438,0.8494,0.6151,0.7438
det,4,0.8570,0.9387,,0.7716,0.8823,0.6560,0.7716
det,5,0.7293,1.0624,,0.7851,0.9064,0.6805,0.7851
det,6,0.6500,1.1104,,0.7851,0.8604,0.6421,0.7851
det,7,0.5874,0.8980,,0.8091,0.9016,0.6785,0.8091
det,8,0.5286,0.9393,,0.8244,0.9096,0.6807,0.8244
det,9,0.4841,0.9728,,0.8223,0.9145,0.6926,0.8223
det,10,0.4511,1.0238,,0.8060,0.9122,0.6940,0.8060
det,11,0.4249,0.9451,,0.8560,0.9415,0.7190,0.8560
det,12,0.3891,0.8863,,0.8252,0.9410,0.7189,0.8252
det,13,0.3700,0.8610,,0.8289,0.9189,0.7052,0.8289
det,14,0.3436,0.9299,,0.8389,0.9211,0.7034,0.8389
det,15,0.3195,0.7928,,0.8393,0.9312,0.7330,0.8393
det,16,0.2990,0.8578,,0.8711,0.9363,0.7287,0.8711
det,17,0.2806,0.8179,,0.8580,0.9357,0.7268,0.8580
det,18,0.2603,0.8405,,0.8571,0.9315,0.7259,0.8571
det,19,0.2447,0.8299,,0.8750,0.9454,0.7361,0.8750
det,20,0.2298,0.7804,,0.8744,0.9419,0.7387,0.8744
det,21,0.2162,0.7294,,0.8701,0.9377,0.7381,0.8701
det,22,0.2039,0.7564,,0.8803,0.9371,0.7327,0.8803
det,23,0.1939,0.7513,,0.8844,0.9377,0.7317,0.8844
det,24,0.1838,0.7430,,0.8758,0.9303,0.7234,0.8758
det,25,0.1756,0.7531,,0.8731,0.9377,0.7300,0.8731
