filename,true_class,predicted_class,correct
0885536.jpg,algae,algae,True
099885.jpg,algae,algae,True
1.jpg,algae,algae,True
109.jpg,algae,algae,True
111.jpg,algae,algae,True
111111111111.jpg,algae,algae,True
120240527_111708.jpg076.jpg,algae,algae,True
120240527_111708.jpg978564.jpg,algae,algae,True
120240527_114143.jpg,algae,algae,True
120240604_171644.jpg,algae,algae,True
120240604_174738.jpg,algae,algae,True
120240604_180120.jpg,algae,algae,True
120240604_180335.jpg,algae,algae,True
120240604_180400.jpg,algae,algae,True
120240605_145944.jpg,algae,algae,True
120240605_155758.jpg,algae,algae,True
120240605_161215.jpg,algae,algae,True
120240607_100413.jpg,algae,algae,True
120240607_113813.jpg,algae,algae,True
120240607_161930.jpg,algae,algae,True
120240607_163027.jpg,algae,algae,True
120240607_163220.jpg,algae,algae,True
120240607_164320.jpg,algae,algae,True
121132.jpg,algae,algae,True
12121121212121.jpg,algae,algae,True
13421.jpg,algae,algae,True
1445.jpg,algae,algae,True
1761.jpg,algae,algae,True
17771.jpg,algae,algae,True
18762.jpg,algae,algae,True
20240527_111529.jpg,algae,algae,True
20240527_111708.jpg,algae,algae,True
20240527_114143.jpg,algae,algae,True
20240604_171010.jpg,algae,algae,True
20240604_171644.jpg,algae,algae,True
20240604_173411.jpg,algae,algae,True
20240604_174738.jpg,algae,algae,True
20240604_175713.jpg,algae,algae,True
20240604_180243.jpg,algae,algae,True
20240604_180335.jpg,algae,algae,True
20240604_180833.jpg,algae,algae,True
20240605_155905.jpg,algae,algae,True
20240605_160208.jpg,algae,algae,True
20240607_113639.jpg,algae,algae,True
20240607_113813.jpg,algae,algae,True
20240607_115339.jpg,algae,algae,True
20240607_162537.jpg,algae,algae,True
20240607_164320.jpg,algae,algae,True
20240607_170417.jpg,algae,algae,True
3.jpg,algae,algae,True
555.jpg,algae,algae,True
5675452.jpg,algae,algae,True
7546524.jpg,algae,algae,True
87765.jpg,algae,algae,True
877665.jpg,algae,algae,True
8y865635.jpg,algae,algae,True
90.jpg,algae,algae,True
98696.jpg,algae,algae,True
987875.jpg,algae,algae,True
9878763.jpg,algae,algae,True
",kjk.jpg",microplastics,algae,False
0980986.jpg,microplastics,algae,False
11.jpg,microplastics,algae,False
1120240228_134747.jpg,microplastics,algae,False
120240514_120924.jpg,microplastics,algae,False
120240514_121348.jpg,microplastics,algae,False
120240514_191653.jpg,microplastics,algae,False
120240528_121005.jpg,microplastics,algae,False
123.jpg,microplastics,algae,False
1e.jpg,microplastics,algae,False
20240221_105214.jpg,microplastics,algae,False
20240223_125033.jpg,microplastics,algae,False
20240227_101519.jpg,microplastics,algae,False
20240227_103246.jpg,microplastics,algae,False
20240227_141131.jpg,microplastics,algae,False
20240228_140824.jpg,microplastics,algae,False
20240228_140944.jpg,microplastics,algae,False
20240228_141820.jpg,microplastics,algae,False
20240228_142504.jpg,microplastics,algae,False
20240228_151636.jpg,microplastics,algae,False
20240228_152442.jpg,microplastics,algae,False
20240308_145001.jpg,microplastics,algae,False
20240308_161815.jpg,microplastics,algae,False
20240308_163423.jpg,microplastics,algae,False
20240311_100457.jpg,microplastics,algae,False
20240311_101329.jpg,microplastics,algae,False
20240311_112300.jpg,microplastics,algae,False
20240311_112424.jpg,microplastics,algae,False
20240312_150429.jpg,microplastics,algae,False
20240312_153035.jpg,microplastics,algae,False
20240312_153520.jpg,microplastics,algae,False
20240312_153546.jpg,microplastics,algae,False
20240312_160502.jpg,microplastics,algae,False
20240312_161143.jpg,microplastics,algae,False
20240312_161405.jpg,microplastics,algae,False
20240312_161459.jpg,microplastics,algae,False
20240404_152806.jpg,microplastics,algae,False
20240404_153608.jpg,microplastics,algae,False
20240404_155530.jpg,microplastics,algae,False
20240405_113327.jpg,microplastics,algae,False
20240405_120119.jpg,microplastics,algae,False
20240424_162537.jpg,microplastics,algae,False
20240424_170811.jpg,microplastics,algae,False
20240425_144558.jpg,microplastics,algae,False
20240425_150733.jpg,microplastics,algae,False
20240425_155045.jpg,microplastics,algae,False
20240426_105316.jpg,microplastics,algae,False
20240426_105414.jpg,microplastics,algae,False
20240426_112149.jpg,microplastics,algae,False
20240426_113054.jpg,microplastics,algae,False
20240426_121327.jpg,microplastics,algae,False
20240426_121701.jpg,microplastics,algae,False
20240426_152023.jpg,microplastics,algae,False
20240426_153511.jpg,microplastics,algae,False
20240426_154417.jpg,microplastics,algae,False
20240426_155901.jpg,microplastics,algae,False
20240426_161319.jpg,microplastics,algae,False
20240430_160908.jpg,microplastics,algae,False
20240430_170111.jpg,microplastics,algae,False
20240430_172412.jpg,microplastics,algae,False
20240430_173453.jpg,microplastics,algae,False
20240430_173648.jpg,microplastics,algae,False
20240430_174325.jpg,microplastics,algae,False
20240430_174352.jpg,microplastics,algae,False
20240430_175103.jpg,microplastics,algae,False
20240501_144501.jpg,microplastics,algae,False
20240501_162747.jpg,microplastics,algae,False
20240501_171915.jpg,microplastics,algae,False
20240501_173037.jpg,microplastics,algae,False
20240501_173541.jpg,microplastics,algae,False
20240501_173711.jpg,microplastics,algae,False
20240501_174047.jpg,microplastics,algae,False
20240502_155909.jpg,microplastics,algae,False
20240502_164245.jpg,microplastics,algae,False
20240502_164839.jpg,microplastics,algae,False
20240502_170724.jpg,microplastics,algae,False
20240502_170842.jpg,microplastics,algae,False
20240502_174147.jpg,microplastics,algae,False
20240502_180735.jpg,microplastics,algae,False
20240502_183508.jpg,microplastics,algae,False
20240502_184735.jpg,microplastics,algae,False
20240503_113217.jpg,microplastics,algae,False
20240503_113735.jpg,microplastics,algae,False
20240506_143124.jpg,microplastics,algae,False
